"id","white","black","side_to_move","critical_move","fen","eval_before_cp","eval_after_cp","piece_by_piece_chessplainer","explanation_beginner","explanation_intermediate","explanation_advanced"
"11","Robert James Fischer","Hector Decio Rossetto","Black","g5","2r2n2/1RP3k1/6pp/p3pp2/P7/1B3P1P/6P1/6K1 b - - 0 35","330","439","Rc8 → -0.408; Rb7 → +0.373; c7 → +0.206; Bb3 → +0.202; Nf8 → -0.144; a5 → -0.142; a4 → +0.137; f5 → -0.073","White is winning. The pawn on c7 is one step from becoming a queen, helped by the rook on b7, and Black's rook must permanently guard against it. White should keep improving the position and break through.","White is winning (about +3.3): the c7-passer plus the b7-rook and b3-bishop leave Black's c8-rook welded to the blockade and the knight passive. White brings the king up and opens a second front. Black can only wait.","White is winning (~+3.3): the c8-rook is enslaved by the c7 passer while White's b7-rook and b3-bishop dominate. The winning method is standard — king activation plus a second weakness to overload the blockade. Black has zero counterplay."
"12","Robert James Fischer","Hector Decio Rossetto","White","g4","2r2n2/1RP3k1/7p/p3ppp1/P7/1B3P1P/6P1/6K1 w - - 0 36","439","323","Rc8 → -0.409; Rb7 → +0.368; c7 → +0.218; Bb3 → +0.203; Nf8 → -0.153; a5 → -0.150; a4 → +0.132; g2 → +0.056","White is winning. The strong pawn on c7, one step from promotion and supported by the rook, decides the game — Black's pieces can only sit and guard against it. White keeps pressing until the defence cracks.","White is winning (about +4.4): the c7-passer, b7-rook and b3-bishop dominate while Black's c8-rook and f8-knight are frozen in defence. White improves the king and creates a second threat. Black is reduced to waiting.","White is winning (~+4.4): the supported c7 passer immobilises Black's rook and knight, leaving White free to activate the king and stretch the defence with a second front. The conversion is textbook overload. Black lacks any counterplay."
"13","Ratmir Kholmov","Mikhail Tal","White","gxf3","4k2r/Rb3p2/2p1p2p/1q6/2p5/2P2r2/2Q2PPP/5RK1 w k - 0 20","-96","-99995","Qc2 → +0.415; Qb5 → -0.396; Ra7 → +0.303; Rf1 → +0.249; Rh8 → -0.222; Rf3 → -0.187; Bb7 → -0.162; g2 → +0.118","Black is better here, mainly because Black has more material and an active queen on b5. But the position is razor sharp: Black's king is stuck in the middle and White has a rook on the seventh rank right next to it. It's White's move, and White must attack rather than grab material — taking greedily can backfire badly.","Black is better (about -1.0): a clear material lead and the active b5-queen, but White's a7-rook on the seventh and the c2-queen give real compensation against the king stuck on e8. It's White to move, and White must press that king rather than cash in — capturing the f3-rook runs into a decisive counterattack. If Black consolidates and tucks the king away, the material wins.","Black is better (~-1.0): material plus the b5-queen's activity, tempered by White's genuine pressure — the a7-rook and c2-queen bearing on the uncastled e8-king. The position is concrete: White (to move) must keep attacking, since the greedy gxf3 capture loses by force to a mating attack on the freshly opened king. Once Black neutralises the initiative, the material decides."
"14","Mikhail Tal","Leonov","White","Rf4","r1b2qk1/1p2rppn/p3pR1p/3pP2Q/3P4/2PBN2P/PP4P1/R5K1 w - - 6 20","428","231","Qh5 → +0.445; Qf8 → -0.311; Rf6 → +0.267; Ra1 → +0.237; Ra8 → -0.188; Re7 → -0.184; Bd3 → +0.174; Nh7 → -0.128","White is winning. White's queen on h5 and a rook on f6 are right next to the black king, with a knight also joining the attack, while material is equal. White should keep attacking with everything.","White is winning (about +4.3): with equal material, the h5-queen and f6-rook spearhead a direct attack, backed by the h7-knight, while Black's f8-queen defends alone. White adds attackers and opens lines. Black is tied to defence with no counterplay.","White is winning (~+4.3) on a decisive attacking formation — Qh5, the f6-rook, and the h7-knight against a defence resting solely on the f8-queen. Material is level; the attack is the evaluation. White avoids trades that don't progress the attack and brings the a1-rook across to finish."
"15","Mikhail Tal","Leonov","Black","Be8","r4qk1/1p1brppn/p3p2p/3pP2Q/3P1RN1/2PB3P/PP4P1/R5K1 b - - 9 21","240","406","Qh5 → +0.413; Qf8 → -0.372; Rf4 → +0.241; Ra1 → +0.239; Ra8 → -0.236; Ng4 → +0.194; Re7 → -0.181; Bd3 → +0.181","White has a large advantage. White's queen on h5 and rook on f4 are aimed at the black king, with a knight ready to jump in, and material is equal. White should keep building the attack while Black defends.","White is clearly better (about +2.4): the h5-queen, f4-rook and g4-knight form a dangerous attacking cluster against a defence anchored by Black's f8-queen. White reinforces the attack and pries open the king; Black needs exchanges to survive the pressure.","White holds a large advantage (~+2.4) from the Qh5/Rf4/Ng4 attacking build-up versus a lone f8-queen defence — material is level, activity is not. The plan is to bring the a1-rook over and open the king; Black must seek queen exchanges at any structural cost. White keeps the tension."
"16","Mikhail Tal","Leonov","Black","Kxg7","r3bqk1/1pr2pP1/p3p2p/3p3Q/3P1R2/2PB3P/PP4P1/R5K1 b - - 0 24","595","711","Qh5 → +0.392; Qf8 → -0.361; Rf4 → +0.277; Ra8 → -0.224; Rc7 → -0.212; Ra1 → +0.210; Bd3 → +0.095; f7 → +0.084","White is winning. White's queen and rook are attacking the black king, there's a dangerous pawn on g7 one step from becoming a queen, and White is a pawn up as well. Black cannot cope with all the threats at once.","White is winning (about +6): up a pawn, with the h5-queen and f4-rook attacking and the g7-passer a constant promotion threat against Black's f8-queen and passive rooks. White combines the threats to overload the defence. Black is lost.","White is winning (~+6): the Qh5/Rf4 pressure plus the g7 passer create unanswerable dual threats — Black's f8-queen cannot cover the promotion square and the king simultaneously, with the a8/c7-rooks passive. Conversion is a matter of ordering the threats. No counterplay exists."
"17","Mikhail Tal","Shlomo Giterman","White","Bxg7+","5B1k/6bp/p3B1p1/6K1/5PP1/8/P3b2P/8 w - - 9 36","287","108","Bg7 → -0.227; Be6 → +0.226; Bf8 → +0.225; Be2 → -0.212; a2 → +0.147; f4 → +0.137; g4 → +0.133; h7 → -0.125","White has a large advantage in this endgame. White is a pawn up, the king on g5 is very active, and White's two bishops — one even sitting on f8 — outwork Black's pair. White should push forward with king and bishops together.","White is clearly better (about +2.9) in the double-bishop endgame: an extra pawn, the dominant g5-king, and the e6/f8-bishops outclassing Black's g7/e2 pair. White advances with king support and creates a second front. Black can only shuffle and hope for a blockade.","White is clearly better (~+2.9): up a pawn with the king entrenched on g5 and the e6/f8-bishops dominating their g7/e2 counterparts. The plan is king-led expansion and a second weakness; Black's bishops are reduced to passive resistance. Technique converts."
"18","Mikhail Tal","Shlomo Giterman","Black","a4+","8/8/2b5/p3kPp1/6P1/PK6/4B3/8 b - - 33 60","7","123","g5 → -0.274; Be2 → +0.221; Bc6 → -0.203; g4 → +0.180; a3 → +0.106; f5 → +0.099; a5 → -0.073","The endgame is roughly equal. White has an extra pawn, but Black's king is very active in the centre and Black's pawn on g5 holds up White's kingside pawns. Both sides have chances, so careful play is needed.","The position is about level (roughly +0.1): White's extra pawn and e2-bishop are balanced by Black's centralised king and the g5-pawn restraining White's g4/f5 duo. Both sides push their trumps — material versus activity. Accurate play means a draw.","The evaluation is balanced (~+0.1): White's extra pawn and more effective bishop (e2 versus c6) are neutralised by Black's active king and the fixing g5-pawn against g4/f5. The struggle is material versus activity in a bishop ending. With precision, a draw."
"19","Mikhail Tal","Shlomo Giterman","Black","Kf6","8/8/2b5/4kPp1/pK4P1/P7/4B3/8 b - - 1 61","177","437","Be2 → +0.268; g5 → -0.231; g4 → +0.193; Bc6 → -0.178; a3 → +0.159; f5 → +0.114; a4 → -0.037","White has a large advantage in this endgame. White's extra pawn and the advanced f5-pawn are dangerous, the bishop on e2 is doing well, and the king comes to help. White should keep advancing carefully — Black's active king alone can't hold everything.","White is clearly better (about +1.8): the e2-bishop outshines Black's c6-bishop, and the f5/g4 pawns (against Black's lone g5) are ready to roll with king support. White advances the kingside majority; Black must blockade with king and bishop. White is on top.","White is clearly better (~+1.8): the superior e2-bishop and the f5/g4 spearhead against Black's g5-pawn give a mobile majority that Black's centralised king can only partly restrain. White advances under king escort and stretches the defence. Careful technique wins."
"20","Vladimir Sergeevich Saigin","Mikhail Tal","White","Qc6","6k1/2qnrp1p/bn1p2p1/1Q1P4/r1p1P3/1pP1B2P/3NBPP1/R4RK1 w - - 5 32","67","-58","Qb5 → +0.396; Qc7 → -0.336; Ra1 → +0.238; Rf1 → +0.217; Ra4 → -0.209; Re7 → -0.202; Nb6 → -0.180; Nd7 → -0.152","White is slightly better here. Material is equal and the position is complicated: White's queen on b5 is the strongest piece on the board but also a little exposed, and both sides' rooks are ready for action. White should coordinate the pieces and keep the queen safe.","White has a slight edge (about +0.7): level material, with the b5-queen actively placed but a touch loose against Black's c7-queen and the a4-rook nibbling at the queenside. White should consolidate the queen and connect the rooks before pressing. Black has enough activity to keep it close.","White holds a slight edge (~+0.7): the b5-queen is White's most influential piece but also the position's main tactical liability, with Black's Qc7/Ra4 generating counterplay. White consolidates the queen, coordinates the a1/f1-rooks, and only then presses. Accuracy outweighs the small number."
"21","Vladimir Sergeevich Saigin","Mikhail Tal","White","Bd4","6k1/4rp1p/2Pp2p1/8/n1N1P3/1pn1B2P/5PP1/R5K1 w - - 2 38","86","-52","Re7 → -0.382; Ra1 → +0.326; Nc3 → -0.214; c6 → +0.199; Nc4 → +0.181; Na4 → -0.180; b3 → -0.165; Be3 → +0.161","White is slightly better in this endgame. Black's rook on e7 is active, but White's own rook, the advanced pawn on c6 and the good knight on c4 give White a small pull. White should support the advanced pawn and keep everything protected.","White has a slight edge (about +0.9): the c6-passer and c4-knight versus Black's active e7-rook and c3/a4-knights make a tense endgame. White supports the passer with the a1-rook and improves step by step; Black seeks counterplay against White's loose pawns. Close, but easier for White.","White holds a slight edge (~+0.9): the c6 passer and c4-knight anchor White's play, while Black's e7-rook — the most active black piece — and the c3/a4-knights probe for counterplay. White's task is coordination around the passer; Black's is to harass before it advances. Near-balanced, White more comfortable."
"22","Mikhail Tal","Janis Visockis","White","Nd5","r1n1b1k1/p1q3bp/2pn1r2/2B1p1p1/4Pp2/1NNQ1P2/PP2B1PP/1K1R3R w - - 6 21","168","-21","Qd3 → +0.424; Qc7 → -0.388; Rf6 → -0.244; Rd1 → +0.221; Ra8 → -0.217; Rh1 → +0.186; Be8 → -0.159; Bc5 → +0.127","White is clearly better. With equal material, White's queen on d3 and rook on d1 control the middle of the board, and one knight has even jumped deep into Black's camp. White should keep the pieces active and increase the pressure.","White is clearly better (about +1.7): equal material but superior coordination — the Qd3/Rd1 central battery and the infiltrated c8-knight against Black's c7-queen and f6-rook. White keeps the initiative and opens lines; Black must untangle before the pressure becomes decisive.","White is clearly better (~+1.7): the Qd3/Rd1 central pressure plus the c8-infiltrator define a marked activity imbalance, with Black's Qc7/Rf6 stretched. White converts activity into concrete threats and keeps Black tied down; sharp play suits the position. Black's defence is difficult."
"23","Mikhail Tal","Janis Visockis","Black","Bxa8","Q1n3k1/2q2nbp/1pb2r2/4p1p1/4Pp2/1N3P2/PP2B1PP/1KR4R b - - 1 25","-82","57","Qc7 → -0.352; Qa8 → +0.335; Rc1 → +0.296; Bc6 → -0.274; Rf6 → -0.248; Rh1 → +0.215; Bg7 → -0.134; Be2 → +0.127","Black is a little better. White's queen has wandered into the corner on a8 and looks awkward, while Black's queen, bishop and rook work well together. The position is tricky though — Black should keep improving calmly instead of rushing to trap the queen.","Black is slightly better (about -0.8): White's a8-queen is offside while Black's Qc7, c6-bishop and f6-rook coordinate well; White's c1/h1-rooks still have to justify the queen's excursion. It's sharp — Black should improve and keep control rather than grab, since the queen-winning capture has tactical strings attached. A small, real edge.","Black holds a slight edge (~-0.8): the a8-queen is misplaced even though it remains White's most valuable unit, and Black's Qc7/Bc6/Rf6 trio coordinates against it. The position is concrete — the tempting capture to win the queen rebounds tactically and shouldn't be automatic. Black keeps improving and leaves the offside queen as White's ongoing problem."
"24","Mikhail Tal","Janis Visockis","White","axb5","b4b2/2R2n1p/5k2/1p2p1p1/P3Pp2/5P2/1P1N2PP/1K6 w - - 0 34","405","296","Rc7 → +0.423; Ba8 → -0.241; Bf8 → -0.204; Nf7 → -0.190; Nd2 → +0.176; a4 → +0.149; f4 → -0.138; g2 → +0.098","White is winning this endgame. White's rook has broken through to c7, deep in Black's position, there's a dangerous pawn on b6 pushing toward promotion, and Black's two bishops sit passively in the corners. White should push the pawn and let the rook dominate.","White is winning (about +4): the seventh-rank rook on c7 is the dominant piece, teaming up with the b6-passer and the d2-knight, while Black's a8/f8-bishops and f7-knight stay passive despite the nominal bishop pair. White advances the passer and harvests weaknesses. Black is stretched far too thin.","White is winning (~+4): the c7-rook rules the seventh and, with the b6 passer, paralyses Black's uncoordinated a8/f8-bishops and f7-knight — a rook-versus-minor-pieces imbalance where the rook's activity decides. White pushes the passer while creating a second front. Black has no counterplay."
"25","Mikhail Tal","Janis Visockis","Black","Ne6","8/7p/RP3k2/2b1p1n1/2N1Pp2/8/1P5P/1K6 b - - 2 40","547","852","Ra6 → +0.437; b6 → +0.240; Nc4 → +0.192; Bc5 → -0.175; f4 → -0.161; Ng5 → -0.115; h7 → -0.102; b2 → +0.099","White is winning. White is ahead by about a piece in material, the rook on a6 is superbly active, and the pawn on b6 is pushing toward promotion. White should advance that pawn and trade pieces to simplify the win.","White is winning (about +5.5): up a piece's worth of material with the dominant a6-rook, the b6-passer and the c4-knight against Black's c5-bishop and g5-knight. White advances the passer and simplifies. Black has no counterplay.","White is winning (~+5.5): a clear material edge spearheaded by the a6-rook and b6 passer, with the c4-knight supporting; Black's Bc5/Ng5 cannot both blockade and create threats. Technique: push the passer, trade down, avoid tricks. Black is lost."
